Mean,Median,STD,Max,Min,Mode,Skewness,Kurtosis,Mean Abs Val,Class
-0.062842703,0.135995132,10.43065949,57.26638773,-75.77619986,-75.77619986,-0.498535844,7.442490401,7.649402681,1
0.138544169,0.250260393,8.018232507,31.63081914,-33.66164575,-33.66164575,-0.047217563,3.44390059,6.284085736,1
-0.100919768,0.305896461,10.47821523,40.09899931,-50.68227981,-50.68227981,-0.426115701,4.711674803,7.938731182,1
-0.060476634,0.073973424,9.593129702,42.82865095,-44.18269271,-44.18269271,-0.049997461,3.582555925,7.540902411,1
0.128719247,-0.118098654,9.253534177,42.62910936,-31.98306213,-31.98306213,0.218906452,3.839536562,7.201057302,1
0.077882871,0.086469845,12.17500121,44.89304749,-43.7536404,-43.7536404,0.115484015,3.985459525,9.265136908,1
-0.056075502,1.01098229,22.16005627,121.9850022,-138.7581679,-138.7581679,-0.120031305,7.422631243,14.86855031,1
-0.008745505,0.295325619,9.432503838,46.08390488,-33.96931074,-33.96931074,0.214685033,4.889549893,7.031467117,1
0.161397421,0.380635521,24.71800656,136.5162181,-119.0885298,-119.0885298,0.617089083,11.12893091,14.84729386,1
-0.092861182,-0.036707885,8.59474866,54.32118618,-41.01021235,-41.01021235,0.188582249,6.076544572,6.526632675,1
-0.063543215,0.313928056,8.760261275,41.86778568,-39.57061763,-39.57061763,-0.250102843,5.38370368,6.541846426,1
0.010865402,0.44957605,15.51373751,75.62452071,-90.79381572,-90.79381572,-0.142061913,7.007331404,10.72696542,1
0.036255775,-0.095498792,9.694319231,38.04310929,-39.24537842,-39.24537842,-0.037168034,4.299169901,7.250583818,1
0.016591,-0.048748337,11.53946598,50.67077894,-55.23353675,-55.23353675,-0.116052397,4.720321125,8.687310297,1
-0.131779837,0.031472268,8.132519438,54.14571424,-32.06997922,-32.06997922,0.499940472,7.111028046,6.12276721,1
0.15051597,0.303966098,10.65935509,48.96535913,-33.17185562,-33.17185562,0.116341595,3.490550014,8.35799877,1
-0.010689043,-0.055342218,9.616671933,47.72694476,-54.38255179,-54.38255179,-0.00889663,5.63120142,7.170463464,1
0.085015937,-0.300610584,9.499704173,52.24159077,-37.56867366,-37.56867366,0.343972255,5.226015329,7.180259163,1
-0.006961003,0.174015469,8.373869016,29.21214835,-35.69645571,-35.69645571,-0.17115154,3.385182033,6.563803587,1
